;mean;amin;amax;median;std;var
27220;1.0;1.0;1.0;1.0;0.0;0.0
27304;1.0;1.0;1.0;1.0;0.0;0.0
27336;1.0;1.0;1.0;1.0;0.0;0.0
27360;1.0;1.0;1.0;1.0;0.0;0.0
27432;1.0;1.0;1.0;1.0;0.0;0.0
27504;1.0;1.0;1.0;1.0;0.0;0.0
27548;1.0;1.0;1.0;1.0;0.0;0.0
27608;1.0;1.0;1.0;1.0;0.0;0.0
27644;1.0;1.0;1.0;1.0;0.0;0.0
27680;1.0;1.0;1.0;1.0;0.0;0.0
27684;1.0;1.0;1.0;1.0;0.0;0.0
27720;1.0;1.0;1.0;1.0;0.0;0.0
27764;1.0;1.0;1.0;1.0;0.0;0.0
27852;1.0;1.0;1.0;1.0;0.0;0.0
27860;1.0;1.0;1.0;1.0;0.0;0.0
27936;1.0;1.0;1.0;1.0;0.0;0.0
28048;1.0;1.0;1.0;1.0;0.0;0.0
28080;1.0;1.0;1.0;1.0;0.0;0.0
28104;1.0;1.0;1.0;1.0;0.0;0.0
28236;1.0;1.0;1.0;1.0;0.0;0.0
28268;1.0;1.0;1.0;1.0;0.0;0.0
28496;1.0;1.0;1.0;1.0;0.0;0.0
28552;1.0;1.0;1.0;1.0;0.0;0.0
28588;1.0;1.0;1.0;1.0;0.0;0.0
28604;1.0;1.0;1.0;1.0;0.0;0.0
28628;1.0;1.0;1.0;1.0;0.0;0.0
28648;1.0;1.0;1.0;1.0;0.0;0.0
28756;1.0;1.0;1.0;1.0;0.0;0.0
28776;1.0;1.0;1.0;1.0;0.0;0.0
28804;1.0;1.0;1.0;1.0;0.0;0.0
29036;1.0;1.0;1.0;1.0;0.0;0.0
29104;1.0;1.0;1.0;1.0;0.0;0.0
29160;1.0;1.0;1.0;1.0;0.0;0.0
29184;1.0;1.0;1.0;1.0;0.0;0.0
29232;1.0;1.0;1.0;1.0;0.0;0.0
29368;1.0;1.0;1.0;1.0;0.0;0.0
29448;1.0;1.0;1.0;1.0;0.0;0.0
29524;1.0;1.0;1.0;1.0;0.0;0.0
29532;1.0;1.0;1.0;1.0;0.0;0.0
29632;1.0;1.0;1.0;1.0;0.0;0.0
29644;1.0;1.0;1.0;1.0;0.0;0.0
29656;1.0;1.0;1.0;1.0;0.0;0.0
